team,teamid,playerid,player,jersey_no,Goals,left_goals,right_goals,head_goals,penalty_goals,Assists,KeyPasses,chances_created,big_chances,shots_on_target,shots_off_target,shots,post,blocked_shots,fouls,yellow_cards,red_cards,defender_saves,offsides,tackles,interceptions,blocks,saves,position,clean_sheets,shots_faced,matchid,Player_FN
Guns N Goals,10,POR2025295,JOSH,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,Defense,0,6,13,J.Joshua 
Guns N Goals,10,POR2025296,NAVIN,11,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,4,2,0,0,Defense,0,6,13,NAVIN KUMAR S
Guns N Goals,10,POR2025297,Rehan ,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Defense,0,6,13,Abdul Rehan 
Guns N Goals,10,POR2025300,KRISHNA,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,GK,0,6,13,HARI KRISHNAN
Guns N Goals,10,POR2025301,Jos�,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfield,0,6,13,Jose 
Guns N Goals,10,POR2025303,Njb,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Midfield,0,6,13,Nevan John Benny 
Guns N Goals,10,POR2025307,Ajith,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Defense,0,6,13,Ajith
Guns N Goals,10,POR2025311,Siddique ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Defense,0,6,13,Siddique 
Guns N Goals,10,POR2025312,Balaji,12,1,0,0,1,0,0,0,0,0,2,1,3,0,0,7,0,0,0,0,3,1,0,0,Midfield,0,6,13,Balaji Elangovan 
Guns N Goals,10,POR2025313,NISHAANT EV,20,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,Forward,0,6,13,NISHAANTH EV
Guns N Goals,10,POR2025314,Gokul,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Midfield,0,6,13,Gokul
Guns N Goals,10,POR2025315,Akash,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,Midfield,0,6,13,Akash
Guns N Goals,10,POR2025444,DILIP,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,Midfield,0,6,13,MANOJ
Wolfpack FC,16,POR2025344,Ruban ,17,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,Defense,0,4,13,Ruban.A
Wolfpack FC,16,POR2025345,Thooyavan,12,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,1,1,0,0,Forward,0,4,13,S.Thooyavan
Wolfpack FC,16,POR2025346,Raul,13,0,0,0,0,0,0,0,0,0,1,2,3,0,0,1,0,0,0,0,3,0,0,0,Midfield,0,4,13,G.M Raul Palin
Wolfpack FC,16,POR2025348,Yuvaraj,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Defense,0,4,13,L.Yuvaraj 
Wolfpack FC,16,POR2025349,Lokesh,30,1,1,0,0,0,0,0,0,0,1,1,2,1,0,2,0,0,0,2,0,0,0,0,Forward,0,4,13,Lokesh.K
Wolfpack FC,16,POR2025350,Aadil,11,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,1,0,0,0,0,Forward,0,4,13,Aadil Sinju Abdul Kharim 
Wolfpack FC,16,POR2025352,Sourav,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Defense,0,4,13,Sourav Sharma
Wolfpack FC,16,POR2025353,Allan,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfield,0,4,13,Allan Rahul 
Wolfpack FC,16,POR2025355,Gabriel,7,1,0,1,0,0,0,0,0,1,2,1,3,0,0,1,0,0,0,0,1,0,0,0,Midfield,0,4,13,i.Gabriel Lawrson
Wolfpack FC,16,POR2025357,Sri,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfield,0,4,13,Sri Saran
Wolfpack FC,16,POR2025358,Stephen,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Midfield,0,4,13,Stephen Chelliah
Wolfpack FC,16,POR2025359,Suriya,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Midfield,0,4,13,Suriya Raj
Wolfpack FC,16,POR2025360,Bharath,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,Defense,0,4,13,M.Bharath
Wolfpack FC,16,POR2025361,Pandi,22,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Defense,0,4,13,Pandia Rajan
Wolfpack FC,16,POR2025362,Anand ,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Midfield,0,4,13,P Anand 
Wolfpack FC,16,POR2025364,Balaji,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,GK,0,4,13,Balaji S
